moordemo - Sheet1
kind,capacity,lat,lng
Converted Parking Meter,2,39.9481217,-75.164129
Staple or Inverted-U,2,39.9481307,-75.164217
Staple or Inverted-U,2,39.9470001,-75.164528
Staple or Inverted-U,2,39.9469109,-75.164544
Converted Parking Meter,2,39.9468956,-75.164391
Converted Parking Meter,2,39.9468768,-75.16422
Converted Parking Meter,2,39.9468576,-75.164045
Staple or Inverted-U,2,39.9469283,-75.163971
Staple or Inverted-U,2,39.9469191,-75.163905
Converted Parking Meter,2,39.9468387,-75.163874
Converted Parking Meter,2,39.94683,-75.163801
Staple or Inverted-U,2,39.9455777,-75.164818
Staple or Inverted-U,2,39.9455633,-75.164697
Staple or Inverted-U,2,39.9453433,-75.16354
Staple or Inverted-U,2,39.9453196,-75.163339
Staple or Inverted-U,2,39.9452961,-75.163141
Staple or Inverted-U,2,39.944471,-75.163978
Staple or Inverted-U,2,39.9444498,-75.163805
Staple or Inverted-U,2,39.9443445,-75.162954
Staple or Inverted-U,2,39.9452462,-75.162784
Staple or Inverted-U,2,39.9453083,-75.162683
Staple or Inverted-U,2,39.9451444,-75.161995
Staple or Inverted-U,2,39.945123,-75.161806
Staple or Inverted-U,2,39.9438756,-75.159175
Staple or Inverted-U,2,39.9451011,-75.161612
Staple or Inverted-U,2,39.9439093,-75.15945
Staple or Inverted-U,2,39.9447886,-75.15909
Staple or Inverted-U,2,39.9447893,-75.158513
Staple or Inverted-U,2,39.9446443,-75.157884
Staple or Inverted-U,2,39.9445261,-75.156962
Staple or Inverted-U,2,39.9424173,-75.15524
Staple or Inverted-U,2,39.9423168,-75.155021
Staple or Inverted-U,2,39.9423767,-75.154906
Staple or Inverted-U,2,39.9422767,-75.154117
Staple or Inverted-U,2,39.9423285,-75.154535
Staple or Inverted-U,2,39.9422733,-75.154678
Staple or Inverted-U,2,39.9422158,-75.154224
Staple or Inverted-U,2,39.9442432,-75.154668
Staple or Inverted-U,2,39.9473711,-75.157459
Staple or Inverted-U,2,39.9473622,-75.157388
Staple or Inverted-U,2,39.9474345,-75.157319
Staple or Inverted-U,2,39.9474257,-75.15725
Converted Parking Meter,2,39.9472728,-75.157258
Converted Parking Meter,2,39.9471763,-75.156481
Staple or Inverted-U,2,39.947216,-75.156235
Converted Parking Meter,2,39.9471536,-75.156298
Staple or Inverted-U,2,39.9466707,-75.162505
Staple or Inverted-U,2,39.9466666,-75.162468
Staple or Inverted-U,2,39.9466629,-75.162435
Staple or Inverted-U,2,39.946659,-75.1624
Staple or Inverted-U,2,39.9478888,-75.1622
Staple or Inverted-U,2,39.94788,-75.162127
Converted Parking Meter,2,39.9476871,-75.160574
Converted Parking Meter,2,39.9476429,-75.160217
Staple or Inverted-U,2,39.9476335,-75.159309
Converted Parking Meter,2,39.9475621,-75.159558
Converted Parking Meter,2,39.9475476,-75.159436
Staple or Inverted-U,2,39.9475528,-75.15891
Staple or Inverted-U,2,39.9475343,-75.158761
Staple or Inverted-U,2,39.9475152,-75.158609
Staple or Inverted-U,2,39.9474904,-75.15841
Staple or Inverted-U,2,39.9474784,-75.158314
Staple or Inverted-U,2,39.9474094,-75.158344
Staple or Inverted-U,2,39.9474104,-75.158351
Staple or Inverted-U,2,39.9474112,-75.158357
Staple or Inverted-U,2,39.9474121,-75.158364
Staple or Inverted-U,2,39.947413,-75.158371
Staple or Inverted-U,2,39.9474138,-75.158377
Staple or Inverted-U,2,39.9483528,-75.156498
Converted Parking Meter,2,39.9483266,-75.156296
Staple or Inverted-U,2,39.9482993,-75.156086
Staple or Inverted-U,2,39.948357,-75.155988
Staple or Inverted-U,2,39.9483781,-75.156156
